title,content,category,url
女性家庭照顧者防災士專班開班　內政部盼成韌性力量,（中央社記者高華謙台北6日電）台灣婦女團體全國聯合會今天起舉辦家庭照顧者防災士培訓，吸引約70名女性參與。內政部政務次長董建宏表示，盼課程結束後都能將防災觀念帶回家庭，成為守護地方社區的第一線韌性力量。 內政部今天透過新聞稿表示，因應極端氣候及複合式災害，內政部積極推動民間團體參與防災士培訓提升社會災防應變韌性，台灣婦女團體全國聯合會今天與明天在農田水利署高雄管理處舉辦「115年度家庭照顧者防災士培訓」，結合高雄市婦女新知協會、高雄市彩色頁女性願景協會、高雄市多元家庭關愛協會等在地團體，吸引約70名女性參與。 董建宏指出，防災工作真正基礎，不只是政府推動各項政策與措施，更來自每個家庭平時防災準備。無論是共同討論避難路線、預先準備防災避難包，或彼此提醒災害發生時的應變方式等日常中的小行動，都能逐步提升家庭面對災害風險的應變能力。 董建宏表示，因此平時培養全民防災意識及自救互助能力相當重要，而防災士制度正是政府推動全民防災教育與自主防災的重要政策之一。 內政部指出，這次培訓涵蓋台灣災防體系運作、個人居家防護情境演練及急救措施實作等課程，並邀請中山大學公共事務管理研究所教授彭渰雯，引導學生如何從旁觀者成為有能力行動的守護者；同時也由高雄市政府災害防救辦公室、高雄市消防局人員現身說法，帶來第一線的防救災經驗。（編輯：楊凱翔）1150606 選擇與事實站在一起，您的每一份贊助，都是守護新聞自由的力量 下載中央社「一手新聞」APP，即時掌握最新消息 本網站之文字、圖片及影音，非經授權，不得轉載、公開播送或公開傳輸及利用。,政治,https://www.cna.com.tw/news/aipl/202606060203.aspx
強化全社會防衛韌性　國防部將辦後備軍人射擊比賽,（中央社記者吳書緯台北6日電）為強化全社會防衛韌性，國防部7月25日將在復興崗舉辦「2026年全國空氣軟槍競技射擊比賽－北區初賽」，參賽資格以後備軍人為主，自10日起開放報名。據了解，比賽槍械由主辦單位提供國內廠商所生產的T91氣槍、電槍進行比賽。 國防部3日已將「2026年全國空氣軟槍競技射擊比賽－北區初賽」相關資訊放置於全民國防教育網，後備指揮部昨天也在官方臉書揭露賽事訊息。 根據北區初賽簡章，自民國115年起，以後備軍人為主要對象，舉辦全國空氣軟槍競技射擊比賽，規劃區分北、中、南辦理初賽，116年辦理32強準決賽及總決賽，北區初賽7月25日在國防大學復興崗校區舉行，比賽槍械、BB彈統一由主辦單位提供，參賽對象以後備軍人為主，不限定性別，每5人組成一隊參賽，報名日期自6月10日至30日。 知情人士告訴中央社記者，舉辦空氣軟槍（Airsoft）競賽是參照總統府全社會防衛韌性委員會建議，透過推廣空氣軟槍競技射擊比賽，設置情境模擬關卡，來增進後備軍人的體能、團隊默契、應變能力與射擊技能，建立台灣社會的防衛韌性。 據了解，主辦單位所提供的比賽槍械，是由國內玩具槍廠商仿照國軍現役T91戰鬥步槍所生產的T91空氣軟槍，參賽者必須使用T91電動空氣軟槍和瓦斯動力的T91氣槍進行比賽，比賽有個人賽與團體賽形式，除定點射擊外，也有室內空間戰鬥（CQB）的關卡。 總統府全社會防衛韌性委員會委員廖英熙表示，透過舉辦比賽提高全民國防熱度，進而提升後備軍人的射擊準度，才會有國防強度，而韌性台灣才會確實到位，不再僅是口號。 賽事顧問畢逸群表示，國外軍隊也有用空氣軟槍訓練得到不錯成效，且空氣軟槍便宜、安全性質高，且外觀配件擬真，可以達到操槍者的肌肉記憶培養，透過比賽推廣全民國防，並建立起用槍安全與用槍技巧的觀念。 不過，也有後備軍人輔導幹部告訴中央社記者，縣市後備指揮部為此次比賽，數次調查後備軍人輔導幹部是否具有生存遊戲經驗以及射擊專長，似乎是想動員後輔幹部參賽，但舉辦比賽的初衷應是要讓一般後備軍人藉此熟悉步槍射擊，若都是後輔體系的人員參與，恐失比賽初衷，應廣為宣傳讓民眾報名參賽。（編輯：楊凱翔）1150606 選擇與事實站在一起，您的每一份贊助，都是守護新聞自由的力量 下載中央社「一手新聞」APP，即時掌握最新消息 本網站之文字、圖片及影音，非經授權，不得轉載、公開播送或公開傳輸及利用。,政治,https://www.cna.com.tw/news/aipl/202606060180.aspx
健康台灣擴大篩檢　總統力拚2030年癌症死亡率降1/3,（中央社記者洪學廣高雄6日電）總統賴清德今天出席健康台灣深耕論壇，以「健康、繁榮、幸福、民主」四大主軸致詞；他強調，將透過擴大癌症篩檢，力拚2030年讓國人癌症死亡率下降1/3。 高雄醫學大學附設中和紀念醫院今天下午舉辦「69週年院慶系列活動－健康台灣深耕論壇」，論壇以健康台灣政策推動為核心，聚焦健康治理、智慧醫療、健保永續、健康平權、醫療韌性及社區整合照護等議題，共同交流健康台灣政策推動成果與未來實踐方向。 賴總統致詞時以「健康台灣、繁榮台灣、幸福台灣、民主台灣」四大主題描繪國家發展藍圖，他說，身為台灣第一個醫學背景出身的總統，一直在思考能帶給台灣人民什麼服務，因此「健康台灣」宣示目標要在2030年將癌症死亡率降低1/3。 具體作法包含政府已全面擴大公費癌症篩檢範疇，提供包含乳癌、子宮頸癌、大腸癌、口腔癌、肺癌、胃癌在內的六大癌症免費篩檢；在慢性病防治計畫上，則是有888計畫，希望2032年國人平均健康餘命能增加3年。 總統表示，政府將著手推動涵蓋人才培育、算力基礎與資料中心建置的「AI新十大建設」，利用台灣半導體優勢推動建設量子電腦，從過往的百工百業支持科技業，轉型為科技業支持百工百業，讓科技業協助全台中小型企業升級轉型，讓智慧化深入各行各業。 總統也提到，台灣近年經濟成長率表現亮眼，就連外國賓客都驚嘆，因此經濟成長果實應全民共享；透過政府帶頭加薪、減稅及擴大社會福利，目前全台已有約4成至一半民眾免繳綜合所得稅，有效減輕人民生活負擔。 總統特別強調，台灣一切發展成果奠基於自由民主的社會，台灣是主權獨立國家，主體性與中華人民共和國不同；沒有民主就沒有自由與人權，要向國際社會宣示民主台灣國家發展方向，呼籲全民團結捍衛得來不易的民主成就。 石崇良則以「韌性永續，健康台灣」為題，分享健康台灣深耕計畫推動成果與未來布局。面對高齡化社會與醫療環境快速變遷，政府正積極推動智慧科技導入、醫療人才培育、醫療環境優化及韌性醫療體系建構，透過跨部會整合與數位轉型，打造更具永續發展能力的健康照護體系，全面提升國家醫療韌性。 今天出席者，還有總統府健康台灣推動委員會副召集人陳志鴻教授、衛生福利部長石崇良、中央健康保險署長陳亮妤、國民健康署長沈靜芬等人。（編輯：陳仁華）1150606 選擇與事實站在一起，您的每一份贊助，都是守護新聞自由的力量 下載中央社「一手新聞」APP，即時掌握最新消息 本網站之文字、圖片及影音，非經授權，不得轉載、公開播送或公開傳輸及利用。,政治,https://www.cna.com.tw/news/aipl/202606060167.aspx
賴總統：持續強化國防自主　推動AI新十大建設,（中央社記者黃旭昇新北6日電）總統賴清德今天表示，政府會持續強化國防力量、落實國防自主並與民主夥伴站在一起，推動「AI新十大建設」、協助中小微企業轉型發展經濟，讓國家更安全，人民獲得更完善照顧。 新北市嘉義同鄉會第12屆第2次會員代表大會，今天在新北市新莊區舉行，總統賴清德應邀出席，嘉義縣長翁章梁、民主進步黨籍立法委員蔡易餘、王美惠、蘇巧慧等多名立委，與各縣市議員都參加並與鄉親合影紀念。 總統致詞時表示，在鄉親支持並當選總統後，他與蕭副總統並肩作戰，與行政院長卓榮泰團隊密切合作，在前總統蔡英文的施政成果上繼續前行，並推動國防自主，讓國家更安全。尤其，持續推動國防產業與嘉義重視的無人機產業。 賴總統說，台灣也與民主陣營的國家一起致力於台海和平，並讓經濟持續發展與成長。台灣近年經濟表現亮眼，今年第一季的經濟成長率為14.55%、全年經濟成長率預估為9.64%，人均GDP（國內生產毛額）也已超越日本、韓國，股市市值為全球第5大市場。 總統說，政府提出「AI（人工智慧）新十大建設」致力科技產業，以及帶領中小微企業一起發展，也讓傳統產業與小公司都賺錢。台灣經濟會愈來愈好，社會才會更和諧。 總統並提到，政府因應少子女化與人口結構挑戰的18項戰略，針對0到18歲規劃成長津貼，讓孩子成年後，有基金可以持續就學或創業。 總統強調，大家對台灣要有信心，除了中央努力、方向正確，地方政府也很重要。他以新北市子弟的身分，推薦蘇巧慧是優秀人選，不但是法律碩士、在立法院表現優秀，深耕基層，盼她在年底新北市長選舉勝選，帶領台灣最多人口的新北市更進步，「最好的人選就是蘇巧慧」。 總統表示，前行政院長蘇貞昌任內投入嘉義縣市許多建設，推動無人機產業，他也會持續建設，為嘉義打拚。他自己擔任過台南市長，了解身為父母官要深入基層、照顧百姓，讓蘇巧慧當選就可以使新北市脫胎換骨、大進步。 總統也推薦民進黨嘉義縣長參選人蔡易餘、嘉義市長參選人王美惠，親和力夠、深入基層，盼鄉親支持好的人才，讓中央與縣市一起合作。（編輯：林恕暉）1150606 選擇與事實站在一起，您的每一份贊助，都是守護新聞自由的力量 下載中央社「一手新聞」APP，即時掌握最新消息 本網站之文字、圖片及影音，非經授權，不得轉載、公開播送或公開傳輸及利用。,政治,https://www.cna.com.tw/news/aipl/202606060135.aspx
卓榮泰：台灣GDP成長飛速 將進入全球20大經濟體,（中央社記者林巧璉高雄6日電）中華民國工商協進會今天在高雄舉辦工商午餐會，行政院長卓榮泰率部會首長出席。他致詞時說，全球迎向供應鏈重組的時代，帶動台灣GDP成長飛速，台灣即將進入全球20大經濟體。 卓榮泰提及，政府已經與美方談好對等貿易協定（ART）的優惠內容，將會繼續地爭取，確保台灣在台美簽署的ART裡所爭取到的相對待遇。目前在美方所宣布的60個經濟體當中，加徵額外關稅會從10%到12.5%，「台灣因為有ART的基礎，會屬於比較輕的這一部分，談判團隊會跟美方做最後的確認」。 卓榮泰今天率領金管會、勞動部、國發會、環境部等首長到高雄出席工商午餐會，除高雄市長陳其邁陪同與會，包括長興材料、中鋼、東南水泥、義美食品及多家建設公司都由董事長親自出席。 卓榮泰說，在總統賴清德領導下，行政團隊正在向國人報告一張還在努力進行中的成績檢討，行政團隊雖然不敢說、也不能說未來會有多好，「但可以保證的是一定會努力讓台灣越來越好」。 他說，台灣正迎向世界供應鏈重組的時代，「因為非紅供應鏈的重組，台灣抓到了發展契機」，因有領先全球的高科技製造，台灣加速發展；政府也必須擴大對人民的照顧，包括擴大國家安全、政治與經濟永續發展等。 工商協進會理事長吳東亮開場致詞表示，這一年來，台灣位居全球人工智慧（AI）跟半導體供應鏈的核心位置，今年第一季國內生產毛額（GDP）創下48年來新高；台股可說是價量齊揚，成為全球第5大資本市場，「相信今年經濟成長率一定可以超過10%」。 吳東亮說，隨著台灣在全球供應鏈的關鍵地位日益提升，此時此刻提升南台灣的經濟韌性，就是強化台灣的安全保障。中央政府透過大南方新矽谷計畫，打造從嘉義延伸到屏東的AI科技走廊。亞洲資產管理中心落腳高雄，更是展現政府將金融與資本市場重心向南延伸的決心。（編輯：黃名璽）1150606 選擇與事實站在一起，您的每一份贊助，都是守護新聞自由的力量 下載中央社「一手新聞」APP，即時掌握最新消息 本網站之文字、圖片及影音，非經授權，不得轉載、公開播送或公開傳輸及利用。,政治,https://www.cna.com.tw/news/aipl/202606060118.aspx
賴總統參觀總統直選30週年特展　與民眾回顧民主歷程,（中央社記者高華謙台北6日電）今年適逢總統直選30週年，總統府今天開放民眾參觀，總統賴清德也在府內觀賞系列特展及「民主餐車市集」，與民眾共同回顧台灣民主發展重要歷程；賴總統在觀賞過程除與民眾互動合影，還請小朋友喝來自台南的杏仁茶。 總統府透過新聞稿表示，今年適逢總統直選30週年，賴總統今天上午在總統府參觀「1996.03.23－時代的分水嶺」總統直選30週年系列特展以及「民主餐車市集」。總統府副秘書長何志偉、鄭俊昇，內政部長劉世芳、文化部長李遠出席。 總統府表示，賴總統抵達後，首先在敞廳發送「總統直選30週年紀念版乖乖」給參觀民眾，並與民眾互動；隨後至「1996.03.23－時代的分水嶺」特展區，參觀「世界轉向時：90年代台美關係與世界中的台灣」、「競逐的人們：1996總統大選人物誌」以及「民主台灣的第一張選票：第一次總統直選與台海飛彈危機」等3個展區，回顧台灣民主化進程的重要歷史脈絡與時代意義。 總統府說，賴總統接續前往南苑參觀「民主餐車市集」，品嚐杏仁茶、虱目魚香腸、車輪餅、粉色火龍果及檸檬黑糖愛玉等台式美食，並與攤商及參觀民眾互動合影。（編輯：林克倫）1150606 選擇與事實站在一起，您的每一份贊助，都是守護新聞自由的力量 下載中央社「一手新聞」APP，即時掌握最新消息 本網站之文字、圖片及影音，非經授權，不得轉載、公開播送或公開傳輸及利用。,政治,https://www.cna.com.tw/news/aipl/202606060114.aspx
視察高雄港　卓榮泰：國家邁入大填海造陸計畫時代,（中央社記者高華謙台北6日電）行政院長卓榮泰今天視察高雄港填海造陸與收容土石方情形時重申，北中南港區應落實土方進場秩序管理等要求，並全面提升國內土方去化管理效能，「國家邁入大填海造陸計畫時代」。 內政部透過新聞稿指出，卓榮泰今天在行政院秘書長張惇涵、交通部長陳世凱、內政部政務次長董建宏、國土管理署長蔡長展等人陪同下，視察高雄港填海造陸收容土石方推動情形。 卓榮泰重申，北中南港區應落實「土方進場秩序管理、提高運轉效率、守護周遭環境安全及穩定擴增處理量能」等要求，全面提升國內土方去化管理效能，「國家邁入大填海造陸計畫時代」。 卓榮泰說，另除高雄港持續穩定收容外，中央也同步擴充全國港區土方調度量能，台中港提前於7月25日啟動土方收容作業，將共同納入港區收容體系，提升整體調度彈性與去化效率，強化國家重大公共建設支撐能量。 董建宏指出，肯定高雄市率先全國推動「工地（A）直送港區（C）」措施，目前已全面收受公共工程、民間工程及收容處理場所土方，並配置專人實地查驗，嚴格確保入場土方符合相關規定。 董建宏說，截至5月底，高雄南星計畫收容超過110萬立方公尺，5月收容土方已超過37萬立方公尺，約每日進場1200車次、單日約消化1.4萬立方公尺，後續搭配高雄港填海造陸作為最終去處，使公共及民間工程持續推動不中斷。 董建宏指出，高雄港填海造陸計畫已正式啟動環評程序，預計於民國117年將大幅擴充土方收容量至約5800萬立方公尺，足以因應高雄在地發展及土方去化需求；高雄市同時全力配合中央土石方全流向管理政策，全面導入電子聯單與GPS追蹤制度，建構透明追溯管理體系。 內政部表示，行政院積極整合跨部會、地方政府與民間力量，多管齊下推動引導土石方進入合法收容場所、從源頭規劃設計階段落實土方減量或平衡措施、加速執行填海造陸計畫，以及建立有效監管及資源循環再利用機制，達成國土永續、善用天然資源政策目標。（編輯：翟思嘉）1150606 選擇與事實站在一起，您的每一份贊助，都是守護新聞自由的力量 下載中央社「一手新聞」APP，即時掌握最新消息 本網站之文字、圖片及影音，非經授權，不得轉載、公開播送或公開傳輸及利用。,政治,https://www.cna.com.tw/news/aipl/202606060110.aspx
點名無人系統　谷立言：盼台持續投資軍事嚇阻力與韌性,（中央社記者蘇思云台北6日電）美國在台協會（AIT）處長谷立言今天表示，立法院通過國防特別預算，是強化台灣防衛能力的重要第一步，期待台灣持續投資軍事嚇阻能力以及社會韌性，特別是在無人系統等新興科技領域。 科技、民主與社會研究中心（科民社中心，DSET）今天舉辦年度論壇「供應鏈韌性戰略國際高峰會」，邀請來自台灣、美國、日本及烏克蘭的前政府官員、產業與智庫代表，聚焦討論半導體、人工智慧、能源安全與無人機供應鏈4大主題，吸引近600名產官學界人士報名參與。 總統府國家安全會議諮詢委員李育杰、國家科學及技術委員會副主委林法正，以及美國在台協會處長谷立言（Raymond Greene）致詞；美國聯邦眾議院「美國與中國共產黨戰略競爭特別委員會」主席穆勒納爾（John Moolenaar）也透過預錄影片發表談話。 根據科民社中心發布新聞稿指出，谷立言在會中表示，台灣自去年起成為美國第4大貿易夥伴，隨著供應鏈安全的重要性日益提升，美台持續深化在新興科技領域的合作。美國致力在透過加速創新、建構關鍵基礎設施與強化合作，保持AI領域的領導地位，而台灣在半導體、能源、資料基礎設施與先進製造等關鍵領域扮演核心角色。透過攜手合作，美台將共同確保AI未來朝向安全、具韌性、促進共榮的方向發展。 谷立言強調，關鍵礦物與稀土資源市場高度集中，已成為政治脅迫與破壞供應鏈的工具，美國正與包括台灣在內的盟友及夥伴合作，建立多元、安全且可靠的供應來源。 此外，作為全球重要能源出口國，谷立言說，美國願與台灣深化能源合作，提供穩定可靠的能源來源，以支持台灣經濟成長與整體經濟安全。 谷立言強調，美國反對任何改變現狀的行為，並指出台灣立法院通過國防特別預算，是強化台灣防衛能力的重要第一步；期待台灣持續投資軍事嚇阻能力以及社會韌性，特別是在無人系統等新興科技領域。 李育杰指出，DSET年度論壇進入第3年，已成為台灣與民主盟國在科技與地緣政治合作上的重要平台，論壇交流皆為台灣政府所關注的核心議題，包括AI、半導體、無人機「非紅供應鏈」，以及來自國內外兵棋推演與實戰經驗的能源韌性政策建議，對台灣意義重大。 林法正則表示，全球正進入以人工智慧、半導體、量子科技、智慧機器人及自主無人載具為代表的新一波科技革命，未來科技競爭不只是單一企業或單一國家的競爭，而是「生態系」與「國際合作」的競爭。台灣擁有世界級半導體產業與完整供應鏈，以及自由開放的民主制度優勢，與友好國家可透過技術互補，吸引更多國際企業。（編輯：林淑媛）1150606 選擇與事實站在一起，您的每一份贊助，都是守護新聞自由的力量 下載中央社「一手新聞」APP，即時掌握最新消息 本網站之文字、圖片及影音，非經授權，不得轉載、公開播送或公開傳輸及利用。,政治,https://www.cna.com.tw/news/aipl/202606060101.aspx
蕭副總統啟程出訪帛琉　行前談話盼深化兩國合作[影],"（中央社記者葉臻桃園機場6日電）副總統蕭美琴今天啟動「帛榮專案」，是上任後首次出訪友邦帛琉。蕭副總統在桃園機場行前致詞表示，期盼藉由這次的出訪更加深化兩國雙方在多元領域的合作，在既有基礎上展望未來。 副總統蕭美琴今天啟動為期5天「帛榮專案」率團出訪帛琉，此行除深化台帛邦誼、見證榮邦計畫成果，也將協助推廣永續觀光；蕭副總統將與帛琉總統惠恕仁一同浮潛體驗「上帝的水族箱」，並出席無人機捐贈儀式，展現台灣觀光與科技外交成果。 蕭副總統中午在桃園國際機場行前致詞表示，今天是「帛榮專案」正式啟動的日子，也是她擔任副總統以來第一次率團出訪邦交國，對於總統賴清德交付這項任務，她覺得非常榮幸，也深感使命重大。 蕭副總統表示，期盼此行能夠完成3項任務，第1個目標是深化台帛兩國之間的情誼，這一次訪團赴帛琉的訪問將拜會總統惠恕仁（Surangel S. Whipps, Jr.）以及其他的政要領袖；惠恕仁上任以後，已經多次的訪問台灣，以具體的行動來展現兩國的邦誼，惠恕仁積極的來訪，訪團這次的回訪更期盼深化彼此之間情感。 蕭副總統表示，第2個目標是協助帛琉推動永續觀光，而這也是帛琉政府非常重視的，讓更多台灣人能夠看見帛琉的美麗；這次訪團非常榮幸的受到惠恕仁邀請，將實際探訪當地知名的永續觀光景點，也希望有更多國人可以跟著訪團的腳步，用實際的觀光行動來認識帛琉，一起探訪帛琉之美。 蕭副總統表示，第3個目標是與帛琉政府共同見證「台帛榮邦計畫」推動成果，台灣近年來與帛琉政府共同推動榮邦計畫，促進帛琉的國家發展，這次出訪，也將實地見證台帛兩國近年在醫療衛生、農漁業、公共建設等各項領域的工作成果。 蕭副總統表示，外交工作從來都不是件容易的事，這一次訪團也將赴中華民國駐帛琉共和國大使館，為所有派駐第一線的同仁加油打氣；中華民國台灣與帛琉建交已經超過4分之1個世紀，兩國互動頻密，期盼藉由這次的出訪更加深化兩國雙方在多元領域的合作，在既有的基礎之上展望未來。（編輯：林恕暉）1150606 選擇與事實站在一起，您的每一份贊助，都是守護新聞自由的力量 下載中央社「一手新聞」APP，即時掌握最新消息 本網站之文字、圖片及影音，非經授權，不得轉載、公開播送或公開傳輸及利用。",政治,https://www.cna.com.tw/news/aipl/202606060091.aspx
林佳龍出席金根獎　邀企業深根台灣並布局全球,（中央社記者吳書緯台北6日電）外交部長林佳龍昨天出席「第22屆台灣金根獎頒獎典禮暨AI科技論壇」時表示，政府將持續攜手民間企業提升台灣科技產業在國際市場的競爭力與影響力，邀企業「深根台灣、布局全球」共建經濟日不落國。 外交部今天發布新聞稿指出，林佳龍昨天出席在台大醫院國際會議中心舉辦的「第22屆台灣金根獎頒獎典禮暨AI科技論壇」並擔任頒獎人，傳達政府將持續攜手民間企業深化公私協力，共同擦亮「值得信賴的科技台灣」品牌，提升台灣科技產業在國際競爭力與影響力。 林佳龍指出，過去在「新南向政策」及「五加二產業創新計畫」推動下，已奠定台灣對外經貿發展基礎，未來將配合總統賴清德「經濟日不落國」願景，透過新雁行理論，以大帶小、公私協力、軟硬兼施、內外循環，帶領企業拓展全球市場。 林佳龍進一步表示，外交部正在台灣友邦推動多項合作計畫，包括台巴智慧科技園區及史瓦帝尼產業創新園區，透過公私協力模式，整合台灣科技與產業優勢，協助企業拓展海外市場。 林佳龍說明，台灣也正迎來多項發展契機，包括深化台美經貿關係、推動雙邊投資與貿易合作等，均有助提升台灣企業國際競爭力與全球布局能力，未來將持續透過科技產業讓台灣走向國際市場，「不只要讓全球看見台灣，更要讓世界喜歡台灣」。 外交部表示，台灣產業科技推動協會（TITA）理事長涂醒哲致詞時表示，「科技立國」是台灣發展的重要方向，唯有持續推動科技創新，才能厚植國力、帶動經濟成長，並打造更多具國際競爭力的關鍵產業。 外交部指出，「台灣金根獎」由台灣產業科技推動協會主辦，旨在表彰根留台灣且具產業競爭力的企業典範，鼓勵業界持續深化研發能量，促進產業升級與創新發展，進一步強化台灣在全球科技供應鏈中的關鍵地位，彰顯「深根台灣、布局全球」的核心精神。（編輯：翟思嘉）1150606 選擇與事實站在一起，您的每一份贊助，都是守護新聞自由的力量 下載中央社「一手新聞」APP，即時掌握最新消息 本網站之文字、圖片及影音，非經授權，不得轉載、公開播送或公開傳輸及利用。,政治,https://www.cna.com.tw/news/aipl/202606060058.aspx
